Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_shoulder_roll_link,-0.00293246152795418,4.9764033167421E-05,-0.0736639229472643,0,0,0,1.06217853179148,0.00344546338715921,1.00528466851181E-06,-0.000106404540042102,0.00332094064562636,5.37986627609316E-08,0.00189277086158167,0,0,0,0,0,0,package://Robot3/meshes/right_shoulder_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Robot3/meshes/right_shoulder_roll_link.STL,,R_arm-1/URDF0005_ASM-1/URDF0006-1;R_arm-1/URDF0005_ASM-1/CRA-RI70-80-PRO-3U0001-1,right_shoulder_roll_joint,right_shoulder_roll_line,right_shoulder_roll_joint,continuous,0,-0.071,0,0,0,0,right_shoulder_pitch_link,1,0,0,9,9,-0.436,3.107,,,,,,,,
right_shoulder_yaw_link,0.00285912029951315,-3.69918364895305E-06,-0.10946812885872,0,0,0,2.21118521129007,0.00515786035357461,-4.69297743500451E-07,-3.22322062126355E-05,0.00494687579849453,1.28957967670338E-07,0.00210033253013716,0,0,0,0,0,0,package://Robot3/meshes/right_shoulder_yaw_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Robot3/meshes/right_shoulder_yaw_link.STL,,R_arm-1/4GUANJIEJIATIURDF-1,right_shoulder_yaw_joint,right_shoulder_yaw_line,right_shoulder_yaw_joint,continuous,0,0,-0.154,0,0,0,right_shoulder_roll_link,0,0,1,9,9,-3.107,3.107,,,,,,,,
right_elbow_link,-0.041352231722842,1.93110132507002E-05,-0.0322487864893189,0,0,0,0.53294923600517,0.00055413336970523,-2.0440596991689E-08,2.54691909210324E-05,0.000575393313874754,3.67662743534779E-07,0.000546334992714619,0,0,0,0,0,0,package://Robot3/meshes/right_elbow_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Robot3/meshes/right_elbow_link.STL,,R_arm-1/5GUANJIEJIANHUAURDF_ASM-1/5GUANJIEKUANGJIA-1;R_arm-1/5GUANJIEJIANHUAURDF_ASM-1/CRA-RI60-70-PRO-UR0001-1,right_elbow_joint,right_elbow_line,right_elbow_joint,continuous,0.0433022212703591,0,-0.248837901901985,0,0,0,right_shoulder_yaw_link,0,1,0,9,9,0,2.269,,,,,,,,
right_wrist_roll_link,2.73435289760288E-05,-0.002362797041293,-0.141355689957068,0,0,0,0.58413815034826,0.000768684725011216,-3.82099058792917E-07,4.40596089599495E-08,0.00079210599858709,-5.0122238093894E-05,0.000169591571435223,0,0,0,0,0,0,package://Robot3/meshes/right_wrist_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Robot3/meshes/right_wrist_roll_link.STL,,R_arm-1/6GUANJEI_ASM-1/6GUANJIEWAIKE-1;R_arm-1/6GUANJEI_ASM-1/600NJIANHAU-1;R_arm-1/6GUANJEI_ASM-1/600NJIANHAU-2,right_wrist_roll_joint,right_wrist_roll_line,right_wrist_roll_joint,continuous,-0.043302222155956,0,0.00983790190196345,0,0,0,right_elbow_link,0,0,-1,9,9,-3.107,3.107,,,,,,,,
right_wrist_pitch_link,-1.55490803843694E-08,0.0119804243867284,-8.16662175107119E-08,0,0,0,0.00180056325288055,6.65222228842984E-08,-9.4747098156406E-13,9.32638438844315E-13,9.10530477676512E-08,-5.01818491929456E-13,1.43656660909834E-07,0,0,0,0,0,0,package://Robot3/meshes/right_wrist_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://Robot3/meshes/right_wrist_pitch_link.STL,,R_arm-1/6GUANJEI_ASM-1/SHIZIZHOU-WAN-1,right_wrist_pitch_joint,right_wrist_pitch_line,right_wrist_pitch_joint,continuous,0,-0.020999999999951,-0.239300000000004,0,0,0,right_wrist_roll_link,0,1,0,9,9,-1.309,1.309,,,,,,,,
right_wrist_yaw_joint,0.000120798029479268,0.00392893049214649,-0.0339292297891967,0,0,0,0.0867975559922009,2.38959854861458E-05,-1.8609783687507E-07,8.71297130372091E-08,2.05442802336693E-05,2.27778752910659E-06,3.232070141195E-05,0,0,0,0,0,0,package://Robot3/meshes/right_wrist_yaw_joint.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Robot3/meshes/right_wrist_yaw_joint.STL,,R_arm-1/7GUANJIE_ASM-1/7GUANJIEZHIJIA-1;R_arm-1/7GUANJIE_ASM-1/0002-1,right_wrist_yaw_joint,right_wrist_yaw_line,right_wrist_yaw_joint,continuous,0,0.015,0,0,0,0,right_wrist_pitch_link,-1,0,0,9,9,-0.524,0.524,,,,,,,,
head_yaw_link,0.0525382841183898,4.43622577714564E-05,0.0274536376135714,0,0,0,0.0311403586092824,1.41100865317985E-05,-5.03921710485071E-08,8.37309624532314E-06,3.04631729846906E-05,-2.68558991795934E-08,2.48068440657055E-05,0,0,0,0,0,0,package://Robot3/meshes/head_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://Robot3/meshes/head_yaw_link.STL,,Head-1/TOU-LIANGAN1_10-1;Head-1/TOU-LIANGAN2_6-1;Head-1/GB276-619-5_8_ASM-2/GB276-619-5_8_2-1;Head-1/GB276-619-5_8_ASM-2/GB276-619-5_8_3-1;Head-1/GB276-619-5_8_ASM-2/GB276-619-5_8_4-1;Head-1/GB276-619-5_8_ASM-2/GB276-619-5_8_5-1;Head-1/GB276-619-5_8_ASM-2/GB276-619-5_8_6-1;Head-1/GB276-619-5_8_ASM-2/GB276-619-5_8_7-1;Head-1/GB276-619-5_8_ASM-2/GB276-619-5_8_8-1;Head-1/GB276-619-5_8_ASM-2/GB276-619-5_8_9-1;Head-1/GB276-619-5_8_ASM-2/GB276-619-5_8_10-1;Head-1/GB276-619-5_8_ASM-2/GB276-619-5_8_1-1;Head-1/GB276-619-5_8_ASM-4/GB276-619-5_8_1-1;Head-1/GB276-619-5_8_ASM-4/GB276-619-5_8_2-1;Head-1/GB276-619-5_8_ASM-4/GB276-619-5_8_6-1;Head-1/GB276-619-5_8_ASM-4/GB276-619-5_8_5-1;Head-1/GB276-619-5_8_ASM-4/GB276-619-5_8_4-1;Head-1/GB276-619-5_8_ASM-4/GB276-619-5_8_3-1;Head-1/GB276-619-5_8_ASM-4/GB276-619-5_8_10-1;Head-1/GB276-619-5_8_ASM-4/GB276-619-5_8_9-1;Head-1/GB276-619-5_8_ASM-4/GB276-619-5_8_8-1;Head-1/GB276-619-5_8_ASM-4/GB276-619-5_8_7-1,head_yaw_joint,head_yaw_line,head_yaw_joint,continuous,-0.0147999999999994,0,0.404,0,0,0,waist_yaw_link,0,0,1,4.8,4.712,-2.793,2.793,,,,,,,,
head_roll_link,1.01669209308375E-07,1.1787010486409E-07,-1.49251722092458E-11,0,0,0,0.00135343057214226,4.56853522404691E-08,1.42620160998129E-15,2.53816532211893E-14,6.06386461300147E-08,1.81617836792631E-13,9.9953028026111E-08,0,0,0,0,0,0,package://Robot3/meshes/head_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://Robot3/meshes/head_roll_link.STL,,Head-1/TOU-SHIZIZHOU1_12-1,head_roll_joint,head_roll_line,head_roll_joint,continuous,0.0613,0,0.0590000000000001,0,0,0,head_yaw_link,1,0,0,4.8,4.712,-0.524,0.524,,,,,,,,
head_pitch_link,0.0491311933127935,5.27060614287774E-05,0.0711199622084139,0,0,0,0.167752284226564,0.000180822603305174,-8.9938550744879E-07,-1.87784053717797E-06,5.40357048748397E-05,-5.57657491529453E-08,0.000163660797811646,0,0,0,0,0,0,package://Robot3/meshes/head_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://Robot3/meshes/head_pitch_link.STL,,Head-1/LIANGAN4-TOU-NEW_6-1;Head-1/CRA-RI30-40-PRO-3-0001_7-2;Head-1/TOU-LIANGAN4_8-1;Head-1/60001_ASM_12_ASM-1/TOU-LIANGAN6_11-1;Head-1/50001_ASM_9_ASM-1/TOU-LIANGAN5_9-1;Head-1/50001_ASM_9_ASM-1/_AF100_ASM_6_ASM-1/600_6-1;Head-1/GE4YABAN_4-3;Head-1/GE4YABAN_4-2;Head-1/50001_ASM_9_ASM-1/_AF000_ASM_6_ASM-1/00_6-1;Head-1/50001_ASM_9_ASM-1/_AF000_ASM_6_ASM-1/600_6-1;Head-1/GE4YABAN_4-1;Head-1/60001_ASM_12_ASM-1/_AF200_ASM_6_ASM-1/600_6-1;Head-1/60001_ASM_12_ASM-1/_AF200_ASM_6_ASM-1/00_6-1;Head-1/TOUXIANWEI_7-2;Head-1/CRA-RI30-40-PRO-3-0001_7-3;Head-1/SHEXIANGTOUZHIJIA-TOU_11-1;Head-1/TOU-LIANGAN4_8-3;Head-1/TOUXIANWEI_7-1;Head-1/TOU-LIANGAN4_8-2;Head-1/60001_ASM_12_ASM-1/_AF300_ASM_6_ASM-1/600_6-1;Head-1/GE4YABAN_4-4;Head-1/60001_ASM_12_ASM-1/_AF300_ASM_6_ASM-1/00_6-1;Head-1/335LG_7_ASM-1/335LG_7_10-1;Head-1/335LG_7_ASM-1/335LG_7_9-1;Head-1/335LG_7_ASM-1/335LG_7_8-1;Head-1/335LG_7_ASM-1/335LG_7_ASM-0-1;Head-1/335LG_7_ASM-1/335LG_7_21-1;Head-1/50001_ASM_9_ASM-1/_AF100_ASM_6_ASM-1/00_6-1,head_pitch_joint,head_pitch_line,head_pitch_joint,continuous,0,0,0,0,0,0,head_roll_link,0,1,0,4.8,4.712,-0.524,0.524,,,,,,,,
imu_in_torso_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://Robot3/meshes/imu_in_torso_link.STL,1,1,1,1,0,0,0,0,0,0,package://Robot3/meshes/imu_in_torso_link.STL,,pelvis-1/YIS320-1,imu_in_torso_joint,Axis_imu,imu_in_torso_joint,fixed,0.0754,0,0.1045,0,0,0,pelvis,0,0,-1,,,,,,,,,,,,
